;;;Availability;Direct and indirect emissions;Price;Direct emissions;;;;;
;;units;[GWh/y];[ktCO2-eq./GWh];[Meuro/GWh];[ktCO2-eq./GWh];[ACI];[LU];[WD];[CC];
Category;Subcategory;parameter name;avail;gwp_op;c_op;CO2_op;crit_1_res;crit_2_res;crit_3_res;lca_res;Comment
Non-renewable;Other non-renewable;AMMONIA;1.00E+15;0.285;0.208161264;0;0.000628103;0.616260355;0.462260537;0.435942082;
Renewable;Biofuel;AMMONIA_RE_BE;1.00E+15;0;0.172668462;0;0;0;0;0;
Renewable;Biofuel;AMMONIA_RE_IMPORT;1.00E+15;0;0.086334231;0;0.002737186;3.854673808;0.348212253;0.056672717;
Renewable;Biofuel;BIODIESEL;1.00E+15;0;0.10875568;0.27;0.003156213;33.67274754;1.518256284;-0.120333531;
Renewable;Biofuel;BIODIESEL_BE;1.00E+15;0;0.10875568;0.27;0;0;0;0;
Renewable;Biofuel;BIOETHANOL;1.00E+15;0;0.10014511;0.25;0.002961634;31.34330225;1.557089378;-0.094244524;
Others;Others;CO2_ATM;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_CAPTURED;0;0;0;0;0;0;0;0;
Export;Export;CO2_EMISSIONS;1.00E+15;0;0;0;0;0;0;0;
Others;Others;CO2_INDUSTRY;0;0;0;0;0;0;0;0;
Non-renewable;Fossil fuel;COAL;0;0.4014;0.01814538;0.36;0.000354812;0.732106821;0.008556426;0.027707516;
Non-renewable;Fossil fuel;DIESEL;1.00E+15;0.3148;0.09105369;0.27;0.000482154;0.651987078;0.007867901;0.033918439;
Export;Export;ELEC_EXPORT;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;ELECTRICITY;27567.31134;0;0.104928;0;0.000154888;1.534203667;0.041345807;0.023254474;
Non-renewable;Fossil fuel;GAS;1.00E+15;0.2666;0.053298668;0.2;9.38533E-05;0.100161371;0.005214171;0.054202992;
Renewable;Biofuel;GAS_RE_BE;1.00E+15;0;0.204422984;0.2;0;0;0;0;
Renewable;Biofuel;GAS_RE_IMPORT;1.00E+15;0;0.102211492;0.2;0.000807102;4.806991157;0.429279703;-0.140514801;
Non-renewable;Fossil fuel;GASOLINE;1.00E+15;0.3448;0.09404786;0.25;0.000621293;0.673166559;0.008727556;0.047024182;
Non-renewable;Other non-renewable;H2;1.00E+15;0.33656258;0.089517754;0;0.00024993;0.441091666;0.028171364;0.385335801;
Renewable;Biofuel;H2_RE_BE;1.00E+15;0;0.122761436;0;0;0;0;0;
Renewable;Biofuel;H2_RE_IMPORT;1.00E+15;0;0.061380718;0;0.000557161;4.309730809;0.387130683;0.052793024;
Non-renewable;Fossil fuel;LFO;1.00E+15;0.3115;0.06868162;0.26;0.000491922;0.63247261;0.007659972;0.034196735;
Non-renewable;Biofuel;LFO_RE_BE;1.00E+15;0.2;0.13736324;0.26;0;0;0;0;
Non-renewable;Other non-renewable;METHANOL;1.00E+15;0.35;0.040961491;0.24570329;0.00025736;0.293620049;0.027020738;0.064714905;
Renewable;Biofuel;METHANOL_RE_BE;1.00E+15;0;0.154408957;0.24570329;0;0;0;0;
Renewable;Biofuel;METHANOL_RE_IMPORT;1.00E+15;0;0.077204478;0.24570329;0.001278515;3.410637441;0.322268138;-0.10249631;
Renewable;Non-biomass;RES_GEO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_HYDRO;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_SOLAR;1.00E+15;0;0;0;0;0;0;0;
Renewable;Non-biomass;RES_WIND;1.00E+15;0;0;0;0;0;0;0;
Non-renewable;Other non-renewable;URANIUM;1.00E+15;0.0039;0.00387646;0;1.03163E-05;0.015350559;0.001676891;0.000589189;
Non-renewable;Other non-renewable;WASTE;17800;0.1501;0.02497388;0.26;0;0;0;0;
Renewable;Biomass;WET_BIOMASS;38900;0.0118;0.00622964;0.39;0.00024679;2.315707186;0.040169676;-0.420102011;
Renewable;Biomass;WOOD;23400;0.0282;0.035506481;0.39;0.000162382;4.08496096;0.055076367;-0.322879896;
Renewable;Biofuel;WOOD_PRODUCTION;70200;0.0754;0.088885499;0.39;9.12601E-05;9.560478948;0.004821167;-0.343798141;
