Category;Subcategory;parameter name;HOUSEHOLDS;SERVICES;INDUSTRY;TRANSPORTATION;Units
Electricity;baseload;ELECTRICITY;0;0;0;0;[GWh]
Electricity;variable;LIGHTING;40168.70642;60280.92913;29430.44996;0;[GWh]
Heat;high temperature;HEAT_HIGH_T;0;0;135608.7234;0;[GWh]
Heat;space heating;HEAT_LOW_T_SH;111945.5606;58462.2546;23853.88448;0;[GWh]
Heat;hot water;HEAT_LOW_T_HW;31861.52237;31818.71298;3305.501277;0;[GWh]
Cold;low temperature;PROCESS_COOLING;0;0;12048.54778;0;[GWh]
Cold;space cooling;SPACE_COOLING;37216.13772;107706.517;10888.50241;0;[GWh]
Mobility;passenger;MOBILITY_PASSENGER;0;0;0;660994.396;[Mpkm]
Mobility;freight;MOBILITY_FREIGHT;0;0;0;300827.0658;[Mtkm]
Non energy;Non energy;NON_ENERGY;0;0;48990.76218;0;[GWh]
